Country,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
Russian Federation,51,1,36,0,51
Brazil,41,1,5,1,41
Italy,66,1,39,2,66
Poland,34,1,34,0,20
France,22,0,22,0,6
United States of America,54,1,14,11,54
Germany,62,1,35,3,62
Belgium,64,1,29,7,64
Russian Federation,54,1,41,1,54
Egypt,142,3,89,9,142
China,68,2,68,1,58
Netherlands,41,1,24,6,41
India,158,3,139,1,158
Pakistan,158,1,50,1,158
Republic of North Macedonia,83,1,46,0,83
France,59,1,30,4,59
India,154,3,100,2,154
Italy,55,1,47,0,55
United States of America,72,1,4,23,72
India,161,2,71,0,161
Poland,28,1,28,2,28
India,118,2,30,2,118
Brazil,33,0,10,1,33
China,150,3,95,6,150
Brazil,154,5,0,13,154
India,81,1,24,1,81
Colombia,67,1,16,2,67
Romania,62,1,37,1,62
Russian Federation,31,1,31,0,17
France,56,1,35,0,56
United States of America,77,2,22,15,77
Indonesia,44,1,15,0,44
Brazil,30,1,9,2,30
Finland,30,1,30,1,15
South Africa,79,3,18,5,79
United States of America,34,1,19,7,34
United Kingdom of Great Britain and Northern Ireland,51,1,20,5,51
United States of America,77,1,34,0,77
United States of America,61,1,32,3,61
Brazil,32,1,7,2,32
China,64,3,64,4,64
Russian Federation,29,0,29,0,25
United Republic of Tanzania,51,1,23,0,51
India,247,3,162,1,247
United States of America,45,1,32,7,45
Belgium,36,1,25,3,36
Egypt,81,2,81,4,56
Haiti,124,2,15,5,124
United States of America,72,1,26,2,72
United Kingdom of Great Britain and Northern Ireland,55,0,32,1,55
United States of America,31,0,31,0,25
Pakistan,157,1,89,0,157
India,60,1,31,1,60
Pakistan,153,1,40,0,153
Somalia,22,0,19,0,22
Philippines,30,1,17,0,30
Latvia,44,1,34,0,44
United States of America,47,1,37,4,47
Netherlands,37,0,32,2,37
United States of America,44,1,14,8,44
United States of America,58,2,14,24,58
Poland,37,0,33,0,37
Colombia,89,3,3,6,89
Italy,52,2,38,7,52
Chad,59,2,16,0,59
United Kingdom of Great Britain and Northern Ireland,51,1,25,6,51
Philippines,66,1,26,1,66
Russian Federation,38,1,38,0,13
United States of America,34,1,30,7,34
United States of America,88,2,11,20,88
Germany,54,1,31,3,54
Germany,44,1,28,3,44
United Kingdom of Great Britain and Northern Ireland,51,1,26,6,51
United States of America,67,2,15,23,67
Brazil,42,1,5,2,42
India,189,2,99,1,189
Germany,49,1,25,3,49
China,203,5,203,5,151
Germany,35,0,32,0,35
United States of America,90,1,25,2,90
India,67,1,26,1,67
Germany,36,0,34,1,36
France,48,1,28,4,48
United States of America,41,1,28,10,41
New Zealand,19,0,19,1,17
Tunisia,73,1,43,0,73
Viet Nam,45,0,18,1,45
Iran (Islamic Republic of),170,1,43,0,170
Italy,47,1,47,1,36
India,155,3,82,1,155
Brazil,46,1,9,1,46
Mexico,172,5,2,11,172
Mexico,64,1,15,2,64
Italy,44,1,44,1,38
Viet Nam,150,3,150,1,105
China,142,4,113,9,142
Indonesia,21,0,13,0,21
Romania,47,1,42,0,47
Tunisia,48,1,48,1,29
Philippines,54,1,20,0,54
Japan,60,1,44,3,60
Mexico,166,4,8,19,166
Brazil,27,0,23,1,27
Brazil,23,1,7,1,23
Brazil,31,1,13,0,31
Mexico,88,3,13,9,88
El Salvador,90,2,22,9,90
United Republic of Tanzania,28,1,15,0,28
Russian Federation,51,1,38,0,51
India,170,1,38,0,170
Brazil,22,0,9,1,22
India,168,4,168,1,156
Bulgaria,40,1,40,0,32
Poland,47,1,27,2,47
Philippines,59,1,32,0,59
Nigeria,133,4,23,3,133
Finland,29,1,29,1,7
Brazil,73,2,2,8,73
Philippines,50,0,24,0,50
Brazil,25,0,9,1,25
Nigeria,90,3,18,2,90
Mexico,81,2,26,3,81
Brazil,29,0,20,1,29
Brazil,21,0,8,1,21
Brazil,44,1,16,1,44
South Sudan,65,1,12,0,65
Guatemala,66,2,7,6,66
United States of America,53,1,28,10,53
United States of America,56,0,23,0,56
Ireland,57,1,26,3,57
Turkey,62,0,35,0,62
Viet Nam,167,4,167,1,107
United States of America,49,1,27,4,49
United States of America,55,2,25,11,55
Russian Federation,34,1,34,0,32
India,80,1,25,0,80
India,163,2,92,0,163
United States of America,126,4,3,36,126
United States of America,63,2,9,22,63
United States of America,53,2,27,10,53
United States of America,86,2,38,10,86
China,47,2,47,0,25
China,78,2,25,7,78
China,61,2,61,0,54
China,112,2,44,4,112
Peru,27,0,6,1,27
China,155,3,155,2,151
Democratic Republic of the Congo,121,4,24,0,121
China,160,3,138,5,160
China,144,4,109,9,144
China,69,2,48,0,69
United States of America,47,1,34,3,47
Germany,69,1,34,4,69
United States of America,84,3,9,24,84
Belgium,64,1,32,6,64
Canada,20,1,20,1,10
Ireland,38,1,30,3,38
Switzerland,59,1,27,3,59
Germany,67,1,30,5,67
United States of America,75,2,13,16,75
United States of America,60,2,18,21,60
Brazil,22,1,13,0,22
Denmark,36,1,36,0,25
United States of America,41,1,30,8,41
Germany,44,1,28,2,44
Japan,29,1,26,1,29
China,168,3,168,5,99
United Kingdom of Great Britain and Northern Ireland,25,1,25,3,23
Germany,41,1,26,4,41
Germany,36,0,33,1,36
Cameroon,59,2,12,0,59
Somalia,98,0,17,0,98
Netherlands,35,0,33,2,35
Australia,29,0,29,0,13
Germany,51,1,29,3,51
Colombia,103,4,9,6,103
Russian Federation,35,1,35,0,17
United Kingdom of Great Britain and Northern Ireland,35,1,30,4,35
Portugal,27,0,27,2,21
Russian Federation,48,1,39,1,48
India,307,1,45,0,307
Côte d'Ivoire,54,1,25,0,54
United States of America,61,2,26,16,61
Sweden,36,1,36,1,30
United States of America,42,1,42,2,37
Germany,42,0,32,1,42
China,151,4,45,4,151
Ethiopia,102,1,23,0,102
Nigeria,115,3,24,2,115
Italy,64,1,53,1,64
Germany,40,1,30,2,40
Japan,45,1,45,0,38
Thailand,65,1,34,0,65
Indonesia,17,1,13,0,17
Russian Federation,52,1,39,1,52
Japan,69,1,69,1,60
Poland,44,1,33,1,44
Hungary,50,1,41,1,50
Hungary,72,1,42,1,72
Tunisia,49,1,49,1,32
India,127,2,65,1,127
Iran (Islamic Republic of),125,2,125,1,82
Philippines,41,1,25,1,41
Japan,52,1,34,3,52
Japan,47,1,47,1,44
Japan,36,1,36,3,34
India,155,1,39,0,155
Philippines,37,1,19,0,37
Russian Federation,46,1,27,1,46
Kazakhstan,69,1,42,0,69
United States of America,64,1,18,12,64
Israel,92,2,52,8,92
Japan,58,1,43,3,58
Romania,41,1,41,0,38
Philippines,35,1,20,0,35
Indonesia,88,2,53,1,88
Turkey,45,0,45,0,43
India,102,1,38,0,102
United Kingdom of Great Britain and Northern Ireland,58,1,24,7,58
China,143,2,35,5,143
China,187,2,36,8,187
Poland,35,1,35,0,17
Poland,48,1,35,1,48
Belgium,58,1,29,6,58
Belgium,65,1,27,8,65
China,73,2,66,0,73
China,160,4,36,13,160
China,98,3,33,9,98
China,156,4,45,10,156
Mexico,75,2,9,6,75
Mexico,163,4,8,18,163
Russian Federation,35,1,35,0,21
Netherlands,30,0,30,2,29
Spain,47,1,21,2,47
Italy,69,1,37,4,69
Côte d'Ivoire,105,4,15,4,105
Mexico,189,2,9,15,189
United States of America,64,2,37,8,64
United States of America,54,1,32,5,54
India,198,4,198,3,188
Nigeria,139,7,13,5,139
France,55,1,26,3,55
Myanmar,145,1,46,0,145
United States of America,80,1,18,10,80
Russian Federation,50,1,36,1,50
Belgium,35,1,25,3,35
Canada,55,1,27,0,55
Brazil,13,1,12,1,13
Spain,48,1,23,3,48
Papua New Guinea,28,0,28,0,13
Germany,50,1,29,3,50
Madagascar,26,0,26,0,20
China,107,2,107,5,86
Madagascar,22,0,22,0,20
United States of America,76,3,7,25,76
Lithuania,47,1,32,0,47
Ghana,104,2,14,1,104
Mexico,60,1,16,5,60
Brazil,32,1,3,2,32
Russian Federation,28,1,28,1,15
France,34,0,28,2,34
Russian Federation,28,1,28,1,19
Azerbaijan,48,1,35,0,48
Armenia,39,1,29,1,39
Ethiopia,97,1,14,0,97
Iran (Islamic Republic of),75,1,37,0,75
India,194,1,44,0,194
Guatemala,104,3,5,10,104
Italy,57,1,40,3,57
Ukraine,41,1,41,3,27
Portugal,37,1,16,7,37
Malaysia,59,1,34,0,59
United Kingdom of Great Britain and Northern Ireland,29,1,29,2,20
Netherlands,34,0,34,1,26
Serbia,70,1,41,0,70
Germany,32,0,30,1,32
Pakistan,500,1,38,1,466
South Africa,380,31,1,26,380
South Africa,222,12,5,14,222
Thailand,52,0,28,0,52
Malaysia,76,1,39,0,76
Philippines,27,0,23,0,27
Slovakia,59,1,26,2,59
Germany,38,0,28,2,38
United States of America,56,1,23,6,56
Gambia,127,1,18,0,127
Pakistan,117,1,117,1,78
Malaysia,92,2,57,1,92
India,182,5,170,5,182
Italy,124,2,32,7,124
Italy,68,2,68,6,57
Philippines,68,1,26,0,68
Ecuador,39,1,4,2,39
Bosnia and Herzegovina,50,1,33,0,50
Italy,103,1,33,6,103
Italy,38,1,36,5,38
Czechia,61,1,38,1,61
Argentina,17,0,17,1,17
Peru,21,0,4,0,21
France,32,1,32,1,20
China,151,3,119,1,151
Viet Nam,57,1,32,0,57
Russian Federation,38,1,38,0,35
Russian Federation,49,1,40,0,49
India,171,1,42,0,171
India,91,1,28,1,91
Mexico,72,2,4,5,72
India,153,2,22,6,153
Poland,59,1,25,2,59
India,157,0,31,1,157
United States of America,73,1,32,2,73
Brazil,71,2,3,6,71
Brazil,17,0,17,0,11
Brazil,46,1,2,0,46
United Kingdom of Great Britain and Northern Ireland,35,1,12,9,35
Ireland,24,0,24,1,16
Brazil,45,1,14,2,45
Romania,61,1,40,0,61
Dominican Republic,65,1,12,6,65
Italy,112,1,34,4,112
Brazil,19,0,19,0,11
United Kingdom of Great Britain and Northern Ireland,31,0,31,2,22
United States of America,152,4,4,19,152
United States of America,31,1,21,1,31
Brazil,37,1,12,1,37
Argentina,13,1,12,0,13
Mexico,41,1,8,3,41
Italy,103,2,28,9,103
Azerbaijan,52,1,35,0,52
Spain,30,0,30,2,13
India,73,0,25,0,73
Brazil,42,1,2,4,42
Germany,35,0,35,0,30
United States of America,46,1,25,5,46
Poland,93,1,27,4,93
Guinea,63,2,13,0,63
Pakistan,160,0,39,0,160
France,39,1,26,1,39
United States of America,56,1,18,6,56
Ghana,105,2,13,2,105
China,93,2,90,1,93
Brazil,45,0,22,0,45
Bolivia (Plurinational State of),54,1,8,1,54
Germany,36,0,29,2,36
United States of America,50,1,35,5,50
India,153,1,34,0,153
United States of America,48,1,36,5,48
Russian Federation,24,0,24,0,24
Bangladesh,132,3,44,4,132
Pakistan,179,3,179,2,166
India,124,1,36,1,124
India,202,0,34,0,202
India,151,1,26,1,151
Indonesia,92,2,45,0,92
Brazil,39,1,5,0,39
Russian Federation,48,1,39,1,48
Sudan,52,2,17,0,52
Colombia,104,1,16,2,104
Philippines,51,1,27,1,51
Iran (Islamic Republic of),91,1,49,0,91
India,167,1,32,0,167
Thailand,38,0,20,0,38
Thailand,57,0,25,0,57
Netherlands,41,1,27,5,41
United States of America,78,1,11,12,78
United States of America,47,1,46,2,47
United Kingdom of Great Britain and Northern Ireland,29,0,29,3,18
Serbia,60,1,34,1,60
Netherlands,37,1,32,3,37
Chile,61,2,2,9,61
Panama,67,2,20,5,67
Mexico,46,1,17,2,46
United States of America,79,2,13,27,79
United States of America,53,1,24,9,53
Ghana,81,1,18,0,81
Japan,39,1,38,2,39
Germany,34,1,34,2,27
Republic of North Macedonia,42,1,41,0,42
Japan,41,2,36,5,41
Poland,47,1,36,0,47
Germany,32,1,27,4,32
Brazil,25,0,6,1,25
Japan,35,1,35,0,15
Netherlands,36,1,26,3,36
United States of America,73,2,26,7,73
United States of America,52,1,22,11,52
Poland,35,1,32,1,35
Guatemala,94,3,9,11,94
Congo,71,3,18,0,71
Brazil,61,2,3,5,61
Nigeria,80,2,22,1,80
Kyrgyzstan,101,1,60,0,101
Italy,48,1,45,0,48
India,156,1,33,0,156
Mauritius,30,0,28,0,30
France,27,0,27,0,10
India,57,0,30,0,57
Philippines,55,1,20,0,55
Indonesia,54,1,35,0,54
China,69,1,45,4,69
